album_id,album_name,external_url,image_url,release_date,total_tracks,type,album_group,album_uri,artist_id
0drWek4H5NfTa2BWAFA3iB,Parrhesia,https://open.spotify.com/album/0drWek4H5NfTa2BWAFA3iB,https://i.scdn.co/image/ab67616d0000b273fadfdd08edc2150a6e73bc36,2022-03-25,9,album,album,spotify:album:0drWek4H5NfTa2BWAFA3iB,65C6Unk7nhg2aCnVuAPMo8
3dOgiAuM86T2q3tKZIqZoz,Animals As Leaders Live 2017,https://open.spotify.com/album/3dOgiAuM86T2q3tKZIqZoz,https://i.scdn.co/image/ab67616d0000b27385c355b0e45b4c92162e94b6,2018-05-11,13,album,album,spotify:album:3dOgiAuM86T2q3tKZIqZoz,65C6Unk7nhg2aCnVuAPMo8
13jTvLPx2N9JbLOmq4yYQW,The Madness Of Many,https://open.spotify.com/album/13jTvLPx2N9JbLOmq4yYQW,https://i.scdn.co/image/ab67616d0000b273ff93110327dd6422f55985ae,2016-11-11,10,album,album,spotify:album:13jTvLPx2N9JbLOmq4yYQW,65C6Unk7nhg2aCnVuAPMo8
5hVRBZCUCcU3UIhxNikyhf,Animals as Leaders - Encore Edition,https://open.spotify.com/album/5hVRBZCUCcU3UIhxNikyhf,https://i.scdn.co/image/ab67616d0000b2733414817295828da95689f5d5,2015-07-10,15,album,album,spotify:album:5hVRBZCUCcU3UIhxNikyhf,65C6Unk7nhg2aCnVuAPMo8
3BfAgyF1AdYKaOO7EBoDw4,The Joy of Motion,https://open.spotify.com/album/3BfAgyF1AdYKaOO7EBoDw4,https://i.scdn.co/image/ab67616d0000b2731ce45979342c65ecddf9f72e,2014-03-25,12,album,album,spotify:album:3BfAgyF1AdYKaOO7EBoDw4,65C6Unk7nhg2aCnVuAPMo8
7IoPLwGpntUE7VaEXEU67i,Weightless,https://open.spotify.com/album/7IoPLwGpntUE7VaEXEU67i,https://i.scdn.co/image/ab67616d0000b273eda0d4ce815da9d0100561ba,2011-11-08,12,album,album,spotify:album:7IoPLwGpntUE7VaEXEU67i,65C6Unk7nhg2aCnVuAPMo8
1BRtQtljRJIxroJXI20K39,Animals as Leaders,https://open.spotify.com/album/1BRtQtljRJIxroJXI20K39,https://i.scdn.co/image/ab67616d0000b27393bb9d619c92bcd6ba242c39,2009-04-28,12,album,album,spotify:album:1BRtQtljRJIxroJXI20K39,65C6Unk7nhg2aCnVuAPMo8
4NZVjgBQQw9iscGkydO5J2,Gordian Naught,https://open.spotify.com/album/4NZVjgBQQw9iscGkydO5J2,https://i.scdn.co/image/ab67616d0000b27391fecba716a4c5f2c5b978e3,2022-02-17,3,album,single,spotify:album:4NZVjgBQQw9iscGkydO5J2,65C6Unk7nhg2aCnVuAPMo8
6eORPuiaqSBDXcFGW626kj,The Problem of Other Minds,https://open.spotify.com/album/6eORPuiaqSBDXcFGW626kj,https://i.scdn.co/image/ab67616d0000b273332f9141e1cc86294d10e3a6,2021-11-18,2,album,single,spotify:album:6eORPuiaqSBDXcFGW626kj,65C6Unk7nhg2aCnVuAPMo8
4QpUgATVSx1YGHvq8nDwsl,Monomyth,https://open.spotify.com/album/4QpUgATVSx1YGHvq8nDwsl,https://i.scdn.co/image/ab67616d0000b273ff3b01461a1689010df1a4ba,2021-09-02,1,album,single,spotify:album:4QpUgATVSx1YGHvq8nDwsl,65C6Unk7nhg2aCnVuAPMo8
5E0bpYwRSYtQ04j91pIOGz,Wave of Babies,https://open.spotify.com/album/5E0bpYwRSYtQ04j91pIOGz,https://i.scdn.co/image/ab67616d0000b273e8612016cec79fdc8b5a1964,2010-06-22,1,album,single,spotify:album:5E0bpYwRSYtQ04j91pIOGz,65C6Unk7nhg2aCnVuAPMo8
1seFtbJIzwuUMR2wczMx2w,Live in London,https://open.spotify.com/album/1seFtbJIzwuUMR2wczMx2w,https://i.scdn.co/image/ab67616d0000b273d0f65208bdfdf30b6ed60747,2020-11-13,10,album,album,spotify:album:1seFtbJIzwuUMR2wczMx2w,6d24kC5fxHFOSEAmjQPPhc
4b8Wu8BFcryfjXnVI5tTU0,Periphery IV: HAIL STAN,https://open.spotify.com/album/4b8Wu8BFcryfjXnVI5tTU0,https://i.scdn.co/image/ab67616d0000b2731f88dd01d30301d6e3b97bbc,2019-04-05,9,album,album,spotify:album:4b8Wu8BFcryfjXnVI5tTU0,6d24kC5fxHFOSEAmjQPPhc
5L9ddlTFtgLj93nzy77MEO,Periphery III: Select Difficulty,https://open.spotify.com/album/5L9ddlTFtgLj93nzy77MEO,https://i.scdn.co/image/ab67616d0000b273d38982d754066143f855d6dc,2016-07-26,11,album,album,spotify:album:5L9ddlTFtgLj93nzy77MEO,6d24kC5fxHFOSEAmjQPPhc
01olpglKbm8ZtRt38YA4by,Juggernaut: Omega,https://open.spotify.com/album/01olpglKbm8ZtRt38YA4by,https://i.scdn.co/image/ab67616d0000b27310dacf8aa7e2f3c81110902a,2015-01-27,7,album,album,spotify:album:01olpglKbm8ZtRt38YA4by,6d24kC5fxHFOSEAmjQPPhc
5UaU32SWnH6fPoUa5WbbLM,Juggernaut: Alpha,https://open.spotify.com/album/5UaU32SWnH6fPoUa5WbbLM,https://i.scdn.co/image/ab67616d0000b2730e69d9c59274f758bcf440b1,2015-01-27,10,album,album,spotify:album:5UaU32SWnH6fPoUa5WbbLM,6d24kC5fxHFOSEAmjQPPhc
6uzr20yDrFoNNN93mKpEJD,Clear,https://open.spotify.com/album/6uzr20yDrFoNNN93mKpEJD,https://i.scdn.co/image/ab67616d0000b273e49427034556ca1244c69281,2014-01-28,7,album,album,spotify:album:6uzr20yDrFoNNN93mKpEJD,6d24kC5fxHFOSEAmjQPPhc
3PIzA3zd3KK97dyGqK77lq,Periphery II,https://open.spotify.com/album/3PIzA3zd3KK97dyGqK77lq,https://i.scdn.co/image/ab67616d0000b2737cc1955a4381fa871eb40d2f,2012-07-03,14,album,album,spotify:album:3PIzA3zd3KK97dyGqK77lq,6d24kC5fxHFOSEAmjQPPhc
04f2o4OVULRPIQQYyj2Moa,Icarus,https://open.spotify.com/album/04f2o4OVULRPIQQYyj2Moa,https://i.scdn.co/image/ab67616d0000b2733a9423bab6bce3881673f7cd,2011-04-19,9,album,album,spotify:album:04f2o4OVULRPIQQYyj2Moa,6d24kC5fxHFOSEAmjQPPhc
5g2wuopyi9BfhFwztSWFKU,Periphery,https://open.spotify.com/album/5g2wuopyi9BfhFwztSWFKU,https://i.scdn.co/image/ab67616d0000b27376c5a9aa980d3a43eaa19583,2010-04-20,12,album,album,spotify:album:5g2wuopyi9BfhFwztSWFKU,6d24kC5fxHFOSEAmjQPPhc
