track_id,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,type,valence,song_uri
0ajJYhORqGaKmQDMkmFu84,0.265,0.982,0.839,0.21,-4.529,0.179,139.65,audio_features,0.373,spotify:track:0ajJYhORqGaKmQDMkmFu84
7oyTUCYrSf14EZmOvBgvTt,0.299,0.899,0.635,0.187,-5.541,0.084,186.965,audio_features,0.52,spotify:track:7oyTUCYrSf14EZmOvBgvTt
2qJpcZnMUQNOdAPxsuhFFe,0.256,0.939,0.756,0.159,-5.537,0.0658,91.143,audio_features,0.408,spotify:track:2qJpcZnMUQNOdAPxsuhFFe
6gZhmhlrI2fBKWzcEgCIOw,0.558,0.939,0.797,0.111,-6.402,0.0584,110.008,audio_features,0.195,spotify:track:6gZhmhlrI2fBKWzcEgCIOw
2f73K9E0KqxlxpgKjqtXYa,0.103,0.209,0.849,0.48,-14.444,0.0404,171.327,audio_features,0.0558,spotify:track:2f73K9E0KqxlxpgKjqtXYa
1UpzWP1vm3xEdCnSx7uiF0,0.581,0.908,0.803,0.101,-7.252,0.0899,124.965,audio_features,0.11,spotify:track:1UpzWP1vm3xEdCnSx7uiF0
6qDXhIWYUfY192xBLEj6SM,0.56,0.9,0.887,0.212,-4.93,0.0455,130.043,audio_features,0.269,spotify:track:6qDXhIWYUfY192xBLEj6SM
55OB1bY0fjE6IS13s227yg,0.374,0.957,0.744,0.0651,-5.196,0.3,119.959,audio_features,0.332,spotify:track:55OB1bY0fjE6IS13s227yg
1797Td0Zgt1XGUmxtryd7W,0.297,0.971,0.871,0.194,-5.157,0.149,107.871,audio_features,0.147,spotify:track:1797Td0Zgt1XGUmxtryd7W
2PA0tMnMWtFPp5V69xVsj6,0.303,0.935,0.839,0.613,-6.177,0.155,112.65,audio_features,0.294,spotify:track:2PA0tMnMWtFPp5V69xVsj6
50e50gdnZeBu80QvZrTGgn,0.256,0.941,0.853,0.7,-6.076,0.136,109.989,audio_features,0.101,spotify:track:50e50gdnZeBu80QvZrTGgn
0YdTXUV7bNPm3ecjSwE8Iy,0.564,0.914,0.783,0.601,-5.75,0.0854,118.029,audio_features,0.539,spotify:track:0YdTXUV7bNPm3ecjSwE8Iy
2qTZWQo6j4WJcU92nzz9Fz,0.479,0.949,0.76,0.674,-6.144,0.142,140.855,audio_features,0.389,spotify:track:2qTZWQo6j4WJcU92nzz9Fz
4S1ay4kxJt1UJiksb5luCq,0.264,0.931,0.591,0.894,-5.701,0.149,148.628,audio_features,0.326,spotify:track:4S1ay4kxJt1UJiksb5luCq
31QR0UmLRNUsFnTMk93XHb,0.324,0.903,0.666,0.704,-6.556,0.0857,87.228,audio_features,0.24,spotify:track:31QR0UmLRNUsFnTMk93XHb
1hFH99srttKULXjYL9InCX,0.498,0.903,0.512,0.677,-6.131,0.0982,114.697,audio_features,0.509,spotify:track:1hFH99srttKULXjYL9InCX
6W6zxnTS9eoLjF6M0HAJSC,0.318,0.903,0.914,0.89,-6.865,0.0554,135.908,audio_features,0.235,spotify:track:6W6zxnTS9eoLjF6M0HAJSC
7fY0d0ssLVshlLNZDnHyQk,0.338,0.91,0.774,0.24,-5.563,0.159,114.583,audio_features,0.355,spotify:track:7fY0d0ssLVshlLNZDnHyQk
5pkAR66E8myJigkzJOjMGO,0.427,0.951,0.779,0.649,-5.678,0.259,160.014,audio_features,0.166,spotify:track:5pkAR66E8myJigkzJOjMGO
5DEpQAD08rF3acJzWvfyd2,0.362,0.971,0.755,0.934,-5.33,0.18,145.917,audio_features,0.421,spotify:track:5DEpQAD08rF3acJzWvfyd2
7HiH06On60or0MSJsk8Yyg,0.472,0.909,0.807,0.67,-6.02,0.119,117.619,audio_features,0.302,spotify:track:7HiH06On60or0MSJsk8Yyg
7CDIGR91QCm55ItEeLaYPi,0.363,0.978,0.829,0.953,-4.77,0.196,154.934,audio_features,0.206,spotify:track:7CDIGR91QCm55ItEeLaYPi
3JHeDGTzb8RndNpq2MGclj,0.308,0.962,0.843,0.141,-5.923,0.0732,112.681,audio_features,0.38,spotify:track:3JHeDGTzb8RndNpq2MGclj
2iG3f8JUFgLIVddPlP1zap,0.626,0.87,0.864,0.0933,-7.4,0.044,118.007,audio_features,0.594,spotify:track:2iG3f8JUFgLIVddPlP1zap
4tQN38OOwoBU4yROKfZF59,0.273,0.895,0.831,0.108,-6.286,0.0882,187.954,audio_features,0.226,spotify:track:4tQN38OOwoBU4yROKfZF59
3kt0MiWmUr55mNpOyizm83,0.287,0.841,0.762,0.0755,-7.595,0.176,58.217,audio_features,0.321,spotify:track:3kt0MiWmUr55mNpOyizm83
472vi5RE3rBOQlB3TVAn4O,0.366,0.846,0.844,0.159,-6.982,0.0507,113.915,audio_features,0.668,spotify:track:472vi5RE3rBOQlB3TVAn4O
2S9HEGqaXcLVrudgt3SesA,0.484,0.917,0.779,0.324,-6.953,0.0536,124.855,audio_features,0.415,spotify:track:2S9HEGqaXcLVrudgt3SesA
7hNVPBvZ0VjbLnQ407O9tS,0.34,0.868,0.861,0.161,-6.548,0.06,103.983,audio_features,0.328,spotify:track:7hNVPBvZ0VjbLnQ407O9tS
07wg107EmLjYJxvKUPSSpV,0.256,0.914,0.822,0.124,-6.396,0.0602,89.616,audio_features,0.289,spotify:track:07wg107EmLjYJxvKUPSSpV
7cO6rxZSi7Ura92FtspKaf,0.356,0.811,0.811,0.116,-8.069,0.0447,102.898,audio_features,0.334,spotify:track:7cO6rxZSi7Ura92FtspKaf
33Y6akOm1Sk2g6nXxNVh9x,0.349,0.436,0.901,0.115,-13.281,0.0357,119.972,audio_features,0.173,spotify:track:33Y6akOm1Sk2g6nXxNVh9x
5WvMZ7AC5DOp0fVY5mwpMi,0.248,0.931,0.84,0.168,-5.143,0.0642,110.047,audio_features,0.124,spotify:track:5WvMZ7AC5DOp0fVY5mwpMi
6tAXfvwilSs6mQJVyFmEb3,0.487,0.908,0.866,0.254,-6.014,0.0342,99.978,audio_features,0.101,spotify:track:6tAXfvwilSs6mQJVyFmEb3
5tBsFP9XBdphXhbWlwXiCe,0.416,0.922,0.927,0.362,-5.121,0.0549,144.992,audio_features,0.176,spotify:track:5tBsFP9XBdphXhbWlwXiCe
1ZWZO4Uc2W4U6ISIFtBCuJ,0.432,0.926,0.887,0.0769,-5.333,0.0396,155.008,audio_features,0.197,spotify:track:1ZWZO4Uc2W4U6ISIFtBCuJ
4mYodedV6gqsKoSWeB8tTK,0.426,0.346,0.831,0.141,-7.404,0.0338,101.236,audio_features,0.195,spotify:track:4mYodedV6gqsKoSWeB8tTK
0l9li2UFXXFRglpy7GMYGs,0.43,0.976,0.841,0.0906,-5.214,0.103,199.964,audio_features,0.286,spotify:track:0l9li2UFXXFRglpy7GMYGs
1UGLxDVUf3XJRG1zCyeUUX,0.49,0.956,0.869,0.0785,-5.422,0.052,95.002,audio_features,0.25,spotify:track:1UGLxDVUf3XJRG1zCyeUUX
6i8TDqnHN7GF9uU3LJCklq,0.383,0.936,0.731,0.349,-6.683,0.0909,155.006,audio_features,0.12,spotify:track:6i8TDqnHN7GF9uU3LJCklq
